checkpoint,step,direction,layer,head,mean
step_030000,30000,original_to_clone,9,1,-0.010672733590409562
step_030000,30000,original_to_clone,9,2,-0.008097321063548595
step_030000,30000,original_to_clone,9,3,7.709404369732281e-05
step_030000,30000,original_to_clone,9,4,-0.003974621360366409
step_030000,30000,original_to_clone,9,5,-0.001051265914160926
step_030000,30000,original_to_clone,9,6,-0.005928669426892255
step_030000,30000,original_to_clone,9,7,-0.002141082072043204
step_030000,30000,original_to_clone,10,0,-0.012274091845160132
step_030000,30000,original_to_clone,10,1,-0.005799291907130061
step_030000,30000,original_to_clone,10,2,0.005190651696007531
step_030000,30000,original_to_clone,10,3,-0.004280023746662312
step_030000,30000,original_to_clone,10,4,-0.0034934207125827
step_030000,30000,original_to_clone,10,5,-0.0068434535920082985
step_030000,30000,original_to_clone,10,6,0.0018198087408735945
step_030000,30000,original_to_clone,10,7,-0.00032380411216804576
step_030000,30000,original_to_clone,11,0,0.0015015623590967676
step_030000,30000,original_to_clone,11,1,-0.009788199587985201
